wavelength,Neat Wt,Ferrous Wt,Neat Wt,Ferrous Wt
564.5,0.05638675,0.0859803,0.28193375,0.4299015
564,0.056501,0.0861894,0.282505,0.430947
563.5,0.05661275,0.086389167,0.28306375,0.431945833
563,0.05674455,0.0865834,0.28372275,0.432917
562.5,0.0568761,0.0867787,0.2843805,0.4338935
562,0.0569979,0.086954067,0.2849895,0.434770333
561.5,0.0571215,0.087108667,0.2856075,0.435543333
561,0.05727995,0.087268233,0.28639975,0.436341167
560.5,0.05740565,0.087411933,0.28702825,0.437059667
560,0.0575391,0.0875474,0.2876955,0.437737
559.5,0.05769205,0.087665533,0.28846025,0.438327667
559,0.0578597,0.0877749,0.2892985,0.4388745
558.5,0.0580151,0.087860367,0.2900755,0.439301833
558,0.05818605,0.0879366,0.29093025,0.439683
557.5,0.0583597,0.0880039,0.2917985,0.4400195
557,0.05853835,0.088052867,0.29269175,0.440264333
556.5,0.0587273,0.088087,0.2936365,0.440435
556,0.0589166,0.0880956,0.294583,0.440478
555.5,0.05909535,0.088082933,0.29547675,0.440414667
555,0.0592805,0.088049367,0.2964025,0.440246833
554.5,0.05948255,0.087989467,0.29741275,0.439947333
554,0.05968735,0.087923067,0.29843675,0.439615333
553.5,0.0598988,0.087840533,0.299494,0.439202667
553,0.06010735,0.087724833,0.30053675,0.438624167
552.5,0.06030805,0.087588467,0.30154025,0.437942333
552,0.0605159,0.087432267,0.3025795,0.437161333
551.5,0.06073865,0.087272433,0.30369325,0.436362167
551,0.06094265,0.0870832,0.30471325,0.435416
550.5,0.061136,0.086887167,0.30568,0.434435833
550,0.06133215,0.086655,0.30666075,0.433275
549.5,0.06152745,0.086408033,0.30763725,0.432040167
549,0.06173005,0.086137533,0.30865025,0.430687667
548.5,0.06193105,0.0858734,0.30965525,0.429367
548,0.0621114,0.085586833,0.310557,0.427934167
547.5,0.0622867,0.0852734,0.3114335,0.426367
547,0.0624639,0.0849623,0.3123195,0.4248115
546.5,0.06264075,0.084614033,0.31320375,0.423070167
546,0.06281455,0.084269867,0.31407275,0.421349333
545.5,0.06297295,0.083912733,0.31486475,0.419563667
545,0.06311425,0.0835707,0.31557125,0.4178535
544.5,0.06326635,0.0831927,0.31633175,0.4159635
544,0.06342265,0.082818667,0.31711325,0.414093333
543.5,0.0635654,0.082446633,0.317827,0.412233167
543,0.06370815,0.0820701,0.31854075,0.4103505
542.5,0.06384975,0.0817027,0.31924875,0.4085135
542,0.06398845,0.081329733,0.31994225,0.406648667
541.5,0.06413025,0.080950667,0.32065125,0.404753333
541,0.06427055,0.080557467,0.32135275,0.402787333
540.5,0.0644017,0.080186067,0.3220085,0.400930333
540,0.06453285,0.0798149,0.32266425,0.3990745
539.5,0.0646704,0.079451133,0.323352,0.397255667
539,0.06480765,0.079082467,0.32403825,0.395412333
538.5,0.0649336,0.0787397,0.324668,0.3936985
538,0.0650456,0.078390267,0.325228,0.391951333
537.5,0.06515445,0.078057167,0.32577225,0.390285833
537,0.0652652,0.077734033,0.326326,0.388670167
536.5,0.06538485,0.077410467,0.32692425,0.387052333
536,0.0655103,0.0770835,0.3275515,0.3854175
535.5,0.0656328,0.0767645,0.328164,0.3838225
535,0.0657506,0.076458367,0.328753,0.382291833
534.5,0.0658782,0.076147,0.329391,0.380735
534,0.06601565,0.075847733,0.33007825,0.379238667
533.5,0.0661609,0.075548133,0.3308045,0.377740667
533,0.06631055,0.075256467,0.33155275,0.376282333
532.5,0.0664484,0.0749767,0.332242,0.3748835
532,0.0665826,0.074706333,0.332913,0.373531667
531.5,0.0667368,0.074426767,0.333684,0.372133833
531,0.0668991,0.0741615,0.3344955,0.3708075
530.5,0.0670507,0.0739109,0.3352535,0.3695545
530,0.0672237,0.073664133,0.3361185,0.368320667
529.5,0.06738845,0.073430033,0.33694225,0.367150167
529,0.06755905,0.0731962,0.33779525,0.365981
528.5,0.0677441,0.072953033,0.3387205,0.364765167
528,0.0679345,0.072733633,0.3396725,0.363668167
527.5,0.0681255,0.072532567,0.3406275,0.362662833
527,0.0683069,0.072327333,0.3415345,0.361636667
526.5,0.06851,0.072108633,0.34255,0.360543167
526,0.06871415,0.071894733,0.34357075,0.359473667
525.5,0.06892935,0.0716818,0.34464675,0.358409
525,0.069139,0.071485367,0.345695,0.357426833
524.5,0.0693518,0.0712942,0.346759,0.356471
524,0.06957675,0.0711021,0.34788375,0.3555105
523.5,0.0697982,0.070903833,0.348991,0.354519167
523,0.07003395,0.0707047,0.35016975,0.3535235
522.5,0.0702693,0.070520167,0.3513465,0.352600833
522,0.07050035,0.0703373,0.35250175,0.3516865
521.5,0.07072385,0.070161767,0.35361925,0.350808833
521,0.0709682,0.0699794,0.354841,0.349897
520.5,0.0712116,0.069806233,0.356058,0.349031167
520,0.0714483,0.0696221,0.3572415,0.3481105
519.5,0.07168085,0.069438233,0.35840425,0.347191167
519,0.07191495,0.069258867,0.35957475,0.346294333
518.5,0.07213915,0.069072033,0.36069575,0.345360167
518,0.0723572,0.068907767,0.361786,0.344538833
517.5,0.0725758,0.068727333,0.362879,0.343636667
517,0.0727884,0.068542467,0.363942,0.342712333
516.5,0.07299755,0.0683547,0.36498775,0.3417735
516,0.07320645,0.068186133,0.36603225,0.340930667
515.5,0.0734161,0.068003533,0.3670805,0.340017667
515,0.0736127,0.0678301,0.3680635,0.3391505
514.5,0.07381725,0.067647467,0.36908625,0.338237333
514,0.0740161,0.067442167,0.3700805,0.337210833
513.5,0.07422835,0.067248467,0.37114175,0.336242333
513,0.0744152,0.067049133,0.372076,0.335245667
512.5,0.0745847,0.066863133,0.3729235,0.334315667
512,0.07475635,0.066644467,0.37378175,0.333222333
511.5,0.07491155,0.066447933,0.37455775,0.332239667
511,0.07506495,0.066240833,0.37532475,0.331204167
510.5,0.07522145,0.0660211,0.37610725,0.3301055
510,0.0753624,0.065804167,0.376812,0.329020833
509.5,0.07548285,0.065586533,0.37741425,0.327932667
509,0.07561205,0.065376333,0.37806025,0.326881667
508.5,0.07572225,0.065149167,0.37861125,0.325745833
508,0.07582215,0.0649328,0.37911075,0.324664
